"URI","SAMEAS1","SAMEAS2","NAME1","NAME2","NAME3","DOCURI1","DOCTITLE1","DOCURI2","DOCTITLE2","DOCURI3","DOCTITLE3","DOCURI4","DOCTITLE4","RUNDATETIME"
"http://dbpedia.org/resource/Aemilianus",,,"Aemilian","Marcus Aemilius Aemilianus",,"http://en.wikipedia.org/wiki/Aemilianus","Aemilianus","http://finds.org.uk/romancoins/emperors/emperor/id/39","Profile for Emperor: Aemilian","http://www.roman-emperors.org/aemaem.htm","Marcus Aemilius Aemilianus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Aemilianus","Photos for DBpedia.org resource Aemilianus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexander_(Byzantine_emperor)",,,"Alexander III",,,"http://en.wikipedia.org/wiki/Alexander_(Byzantine_emperor)","Alexander (Byzantine emperor)","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2012","Profile for Emperor: Alexander III","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexander_(Byzantine_emperor)","Photos for DBpedia.org resource Alexander_(Byzantine_emperor)",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexander_Severus","http://viaf.org/viaf/50018342",,"Alexander Severus",,,"http://en.wikipedia.org/wiki/Alexander_Severus","Alexander Severus","http://finds.org.uk/romancoins/emperors/emperor/id/36","Profile for Emperor: Alexander Severus","http://www.roman-emperors.org/alexsev.htm","Severus Alexander","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexander_Severus","Photos for DBpedia.org resource Alexander_Severus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexios_III_Angelos",,,"Alexios III",,,"http://en.wikipedia.org/wiki/Alexios_III_Angelos","Alexios III Angelos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2044","Profile for Emperor: Alexios III","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexios_III_Angelos","Photos for DBpedia.org resource Alexios_III_Angelos",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexios_II_Komnenos",,,"Alexios II Komnenos","Alexius II Comnenus",,"http://en.wikipedia.org/wiki/Alexios_II_Komnenos","Alexios II Komnenos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2040","Profile for Emperor: Alexios II Komnenos","http://www.roman-emperors.org/alexiicom.htm","Alexius II Comnenus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexios_II_Komnenos","Photos for DBpedia.org resource Alexios_II_Komnenos","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexios_IV_Angelos",,,"Alexios IV",,,"http://en.wikipedia.org/wiki/Alexios_IV_Angelos","Alexios IV Angelos","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexios_IV_Angelos","Photos for DBpedia.org resource Alexios_IV_Angelos",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexios_I_Komnenos",,,"Alexios I Komnenos",,,"http://en.wikipedia.org/wiki/Alexios_I_Komnenos","Alexios I Komnenos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2037","Profile for Emperor: Alexios I Komnenos","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexios_I_Komnenos","Photos for DBpedia.org resource Alexios_I_Komnenos",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Alexios_V_Doukas",,,"Alexios V",,,"http://en.wikipedia.org/wiki/Alexios_V_Doukas","Alexios V Doukas","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Alexios_V_Doukas","Photos for DBpedia.org resource Alexios_V_Doukas",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Allectus","http://viaf.org/viaf/232344001",,"Allectus",,,"http://en.wikipedia.org/wiki/Allectus","Allectus","http://finds.org.uk/romancoins/emperors/emperor/id/40","Profile for Emperor: Allectus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Allectus","Photos for DBpedia.org resource Allectus",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Anastasios_II",,,"Anastasios II","Anastasius II",,"http://en.wikipedia.org/wiki/Anastasios_II","Anastasios II","http://www.roman-emperors.org/anastasii.htm","Anastasius II","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Anastasios_II","Photos for DBpedia.org resource Anastasios_II",,,"2014-01-22T12:06:09-06:00"
