"dbpedia resource uri","ROMEMP URL","Wikipedia URI","viaf1","name1","name2","name3"
"http://dbpedia.org/resource/Augustus","http://www.roman-emperors.org/auggie.htm","http://en.wikipedia.org/wiki/Augustus","http://viaf.org/viaf/18013086","Augustus","Gaius Julius Caesar Octavianus",
"http://dbpedia.org/resource/Tiberius","http://www.roman-emperors.org/tiberius.htm","http://en.wikipedia.org/wiki/Tiberius","http://viaf.org/viaf/89600176","Tiberius","Tiberius Claudius Nero",
"http://dbpedia.org/resource/Caligula","http://www.roman-emperors.org/gaius.htm","http://en.wikipedia.org/wiki/Caligula","http://viaf.org/viaf/59052351","Caligula","Gaius Caesar Augustus Germanicus","Gaius"
"http://dbpedia.org/resource/Claudius","http://www.roman-emperors.org/claudius.htm","http://en.wikipedia.org/wiki/Claudius","http://viaf.org/viaf/87172361","Claudius","Ti. Claudius Nero Germanicus",
"http://dbpedia.org/resource/Nero","http://www.roman-emperors.org/nero.htm","http://en.wikipedia.org/wiki/Nero","http://viaf.org/viaf/84036175","Nero","Nero Claudius Caesar Augustus Germanicus",
"http://dbpedia.org/resource/Galba","http://www.roman-emperors.org/galba.htm","http://en.wikipedia.org/wiki/Galba","http://viaf.org/viaf/27034761","Galba",,
"http://dbpedia.org/resource/Otho","http://www.roman-emperors.org/otho.htm","http://en.wikipedia.org/wiki/Otho","http://viaf.org/viaf/84036319","Otho",,
"http://dbpedia.org/resource/Vitellius","http://www.roman-emperors.org/vitell.htm","http://en.wikipedia.org/wiki/Vitellius","http://viaf.org/viaf/16012563","Vitellius",,
"http://dbpedia.org/resource/Vespasian","http://www.roman-emperors.org/vespasia.htm","http://en.wikipedia.org/wiki/Vespasian","http://viaf.org/viaf/96539514","Vespasian","Titus Flavius Vespasianus",
"http://dbpedia.org/resource/Titus","http://www.roman-emperors.org/titus.htm","http://en.wikipedia.org/wiki/Titus","http://viaf.org/viaf/83217593","Titus","Titus Flavius Vespasianus",
"http://dbpedia.org/resource/Domitian","http://www.roman-emperors.org/domitian.htm","http://en.wikipedia.org/wiki/Domitian","http://viaf.org/viaf/96284078","Domitian","Titus Flavius Domitianus",
"http://dbpedia.org/resource/Nerva","http://www.roman-emperors.org/nerva.htm","http://en.wikipedia.org/wiki/Nerva","http://viaf.org/viaf/69725573","Nerva",,
"http://dbpedia.org/resource/Trajan","http://www.roman-emperors.org/trajan.htm","http://en.wikipedia.org/wiki/Trajan","http://viaf.org/viaf/88067472","Trajan","Marcus Ulpius Traianus",
"http://dbpedia.org/resource/Hadrian","http://www.roman-emperors.org/hadrian.htm","http://en.wikipedia.org/wiki/Hadrian","http://viaf.org/viaf/82440741","Hadrian","Publius Aelius Hadrianus",
"http://dbpedia.org/resource/Antoninus_Pius","http://www.roman-emperors.org/tonypis.htm","http://en.wikipedia.org/wiki/Antoninus_Pius","http://viaf.org/viaf/62833890","Antoninus Pius",,
"http://dbpedia.org/resource/Marcus_Aurelius","http://www.roman-emperors.org/marcaur.htm","http://en.wikipedia.org/wiki/Marcus_Aurelius","http://viaf.org/viaf/102895066","Marcus Aurelius",,
"http://dbpedia.org/resource/Lucius_Verus","http://www.roman-emperors.org/lverus.htm","http://en.wikipedia.org/wiki/Lucius_Verus","http://viaf.org/viaf/42631348","Lucius Verus",,
"http://dbpedia.org/resource/Avidius_Cassius",,"http://en.wikipedia.org/wiki/Avidius_Cassius","http://viaf.org/viaf/50622155","Avidius Cassius",,
"http://dbpedia.org/resource/Commodus","http://www.roman-emperors.org/commod.htm","http://en.wikipedia.org/wiki/Commodus","http://viaf.org/viaf/23502412","Commodus","Marcus Aurelius Commodus Antoninus",
"http://dbpedia.org/resource/Pertinax","http://www.roman-emperors.org/pertinax.htm","http://en.wikipedia.org/wiki/Pertinax","http://viaf.org/viaf/74649434","Pertinax","Publius Helvius Pertinax",
